nct_id,title,status,study_type,phase,conditions,sponsor,pulled_at
NCT01492673,"Cyclophosphamide, Topotecan, and Bevacizumab (CTB) in Patients With Relapsed/Refractory Ewing's Sarcoma and Neuroblastoma",COMPLETED,INTERVENTIONAL,PHASE2,"Neuroblastoma, Sarcoma",Memorial Sloan Kettering Cancer Center,2026-07-06T10:53:51.370398
NCT00228956,Aromatase Inhibitor Clinical Trial,UNKNOWN,OBSERVATIONAL,,Breast Cancer,National Institute of General Medical Sciences (NIGMS),2026-07-06T10:53:51.370418
NCT04370522,Characterization of Innate Immune System in Patients With Luminal Advanced Breast Cancer,TERMINATED,OBSERVATIONAL,,Metastatic Breast Cancer,Spanish Breast Cancer Research Group,2026-07-06T10:53:51.370429
NCT00106002,Pemetrexed as the First Treatment in Advanced or Metastatic Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,"Breast Cancer, Breast Neoplasms, Male, Carcinoma, Ductal",Eli Lilly and Company,2026-07-06T10:53:51.370440
NCT00437853,Neoadjuvant Hormonal Treatment of Postmenopausal Women Who Have Operable Breast Cancer,COMPLETED,INTERVENTIONAL,NA,Breast Cancer,Instituto Nacional de Cancerologia de Mexico,2026-07-06T10:53:51.370449
NCT03041545,Tracking Physical Activity Throughout Chemotherapy for Breast Cancer,COMPLETED,OBSERVATIONAL,,"Breast Cancer, Physical Activity","University of California, San Diego",2026-07-06T10:53:51.370458
NCT00019812,Monoclonal Antibody Plus Chemotherapy in Treating Patients With Metastatic Breast Cancer That Overexpresses HER2,COMPLETED,INTERVENTIONAL,PHASE2,Breast Cancer,National Institutes of Health Clinical Center (CC),2026-07-06T10:53:51.370466
NCT05386628,The Effect of Myofascial Chain Release Techniques on Shoulder Joint Range of Motion in Breast Cancer Survivors,RECRUITING,INTERVENTIONAL,NA,Breast Cancer Survivors,Istanbul Medeniyet University,2026-07-06T10:53:51.370475
NCT01413828,Trastuzumab Administered Concurrently or Sequentially to Anthracycline-containing Adjuvant Regimen for Breast Cancer,COMPLETED,INTERVENTIONAL,"PHASE2, PHASE3",Breast Cancer,Peking Union Medical College Hospital,2026-07-06T10:53:51.370482
NCT04454528,BreastVAX: Radiation Boost to Enhance Immune Checkpoint Blockade Therapy,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,"PHASE1, PHASE2",Breast Cancer,Abramson Cancer Center at Penn Medicine,2026-07-06T10:53:51.370489
NCT07446686,Study on the Safety and Tolerability of Postoperative Radiotherapy Concurrent With CDK4/6 Inhibitors in HR+/HER2- High-Risk Breast Cancer,NOT_YET_RECRUITING,INTERVENTIONAL,EARLY_PHASE1,Breast Cancer,Guizhou Provincial People's Hospital,2026-07-06T10:53:51.370495
NCT03981705,Assessment of Complete Pathologic Response After Neoadjuvant Chemotherapy for Breast Cancer,COMPLETED,OBSERVATIONAL,,"TN ER-/PR-/HER2- Breast Cancer, Triple Negative Breast Cancer, HER2-positive Breast Cancer, ERany/PRany/HER2+ Breast Cancer","Masonic Cancer Center, University of Minnesota",2026-07-06T10:53:51.370503
NCT04694794,Diminish Chemotherapy Related Side Effects Through Patient Education,COMPLETED,INTERVENTIONAL,NA,"Chemotherapeutic Toxicity, Chemotherapeutic Agent Toxicity, Chemotherapy Effect",Milton S. Hershey Medical Center,2026-07-06T10:53:51.370515
NCT01293851,Molecular-Genetic Mechanisms Associated With Chemotherapy-Induced Nerve Damage,TERMINATED,OBSERVATIONAL,,"Peripheral Neuropathic Pain, Neurotoxicity, Cancer",National Institute of Nursing Research (NINR),2026-07-06T10:53:51.370523
NCT02694029,Active Breathing Coordinator-based vs VisionRT-based Deep Inspiration Breath-hold for Radiation for Breast Cancer,COMPLETED,INTERVENTIONAL,NA,Breast Cancer,University of Texas Southwestern Medical Center,2026-07-06T10:53:51.370530
NCT01885572,"National, Multicenter PMS Study ""Patient Reported Outcome"" in Breast Reconstruction Following Mastectomy With TiLOOP Bra",COMPLETED,INTERVENTIONAL,NA,Breast Reconstruction After Mastectomy,Pfm Medical Mepro Gmbh,2026-07-06T10:53:51.370537
NCT07308275,Longitudinal Evaluation of Direct Neurotization Technique in Breast Reconstruction With Fully Autologous Components,NOT_YET_RECRUITING,INTERVENTIONAL,NA,"Breast Reconstruction After Mastectomy, Neurotization, Mastectomy and Breast Reconstruction, Peripheral Nerve Regeneration, Sensory Function, Quality of Life (QOL)",Fakultas Kedokteran Universitas Indonesia,2026-07-06T10:53:51.370544
NCT04584775,Implementing Acupuncture and Chinese Herbal Medicine Into Palliative Care,WITHDRAWN,INTERVENTIONAL,NA,"Advanced Cancer, Lung Cancer, Breast Cancer, Colo-rectal Cancer, Pancreas Cancer, Cholangiocarcinoma, Quality of Life, Symptoms and Signs",Medical University of Graz,2026-07-06T10:53:51.370551
NCT07301801,Clinical Application of 68Ga-FL-031 PET in the Diagnosis and Staging of Malignant Tumors,RECRUITING,INTERVENTIONAL,EARLY_PHASE1,"Malignant Tumors, SSTR2, PET","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",2026-07-06T10:53:51.370561
NCT04248881,"Step up to Health, Nigeria! Impact of World Cancer Day Walk on Health Behaviors Among Nigerians",COMPLETED,INTERVENTIONAL,NA,Cancer Prevention,"AshtaYoga, LLC",2026-07-06T10:53:51.370568
NCT06081127,"Breast Cancer Pre-habilitation and Prospective Surveillance to Prevent, Detect, and Optimize Physical and Function",COMPLETED,INTERVENTIONAL,NA,Breast Cancer,Northwestern University,2026-07-06T10:53:51.370574
