nct_id,title,status,study_type,phase,conditions,sponsor,pulled_at
NCT01352091,Adjuvant AI Combined With Zoladex,UNKNOWN,INTERVENTIONAL,PHASE3,Breast Cancer,Fudan University,2026-06-15T12:34:51.694616
NCT02876627,Effect Aerobic Training on Women With Breast Cancer After Chemotherapy,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Exercise, Hemoglobins",University of Isfahan,2026-06-15T12:34:51.694647
NCT05708703,Assessing the Time Demands of Cancer,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,,"Metastatic Breast Cancer, Ovarian Cancer","Masonic Cancer Center, University of Minnesota",2026-06-15T12:34:51.694658
NCT06585969,"A Randomised Trial Comparing Trastuzumab Deruxtecan to CDK4/6 Inhibitors in Non-luminal A, ER-positive/HER2-low Metastatic Breast Cancer",WITHDRAWN,INTERVENTIONAL,PHASE3,"Metastatic Breast Cancer, ER-positive Breast Cancer, Luminal B, Her2 Enriched, Basal Like",Danish Breast Cancer Cooperative Group,2026-06-15T12:34:51.694665
NCT04145973,Evaluation of Prognostic Monitoring for Breast Cancer Patients With Recurrence and Metastasis After Surgery,UNKNOWN,OBSERVATIONAL,,Breast Cancer,Peking Union Medical College Hospital,2026-06-15T12:34:51.694672
NCT07005583,Clinical Study of QL1706 in Combination With Olaparib for the Treatment of Patients With Previously Treated Homologous Recombination Repair-Deficient Recurrent or Metastatic Triple-Negative Breast Cancer,NOT_YET_RECRUITING,INTERVENTIONAL,PHASE2,Triple-Negative Breast Cancer (TNBC),Tianjin Medical University Cancer Institute and Hospital,2026-06-15T12:34:51.694679
NCT05930483,"Remotely Delivered, Community-Aligned Weight Loss Interventions Among Breast Cancer Survivors, ¡Vida! Trial",RECRUITING,INTERVENTIONAL,NA,"Anatomic Stage I Breast Cancer AJCC v8, Anatomic Stage II Breast Cancer AJCC v8, Anatomic Stage III Breast Cancer AJCC v8",Fred Hutchinson Cancer Center,2026-06-15T12:34:51.694686
NCT03753776,Phase III Trial Evaluating Radium Bromatum Homeopathic Treatment Efficacy on Radiodermatitis Prevention and Treatment for Breast Cancer Women,COMPLETED,INTERVENTIONAL,PHASE3,Breast Cancer,Centre Hospitalier Universitaire de Saint Etienne,2026-06-15T12:34:51.694692
NCT01283789,Lapatinib and RAD-001 for HER2 Positive Metastatic Breast Cancer,UNKNOWN,INTERVENTIONAL,PHASE2,Metastatic Breast Cancer,University of Kansas Medical Center,2026-06-15T12:34:51.694700
NCT05914168,Clinical Data Collection in Breast Tomosynthesis (COBRIS),UNKNOWN,INTERVENTIONAL,NA,Breast Cancer,GE Healthcare,2026-06-15T12:34:51.694708
